   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly 
 1287 |      1.333453537930053 |      4.133902309728097 |      4.133902309729099 |      4.133902330596019 |   1.00e-12 |   2.09e-08
 1288 |      0.545902697697027 |      0.607481838119044 |      0.607481838120044 |      0.607468903260094 |   9.99e-13 |   1.29e-05
 1289 |     -1.504427669079030 |    -15.045223706201877 |    -15.045223706200884 |    -15.045223706202112 |   9.93e-13 |   2.34e-13
 1290 |     -1.153098782471159 |     -2.253197425709800 |     -2.253197425708797 |     -2.253200695512043 |   1.00e-12 |   3.27e-06
 1291 |     -0.121602081728517 |     -0.122205027647776 |     -0.122205027646776 |     -0.122205027647010 |   1.00e-12 |   7.67e-13
 1292 |      1.063463758152639 |      1.799007985513450 |      1.799007985514450 |      1.799026339380418 |   1.00e-12 |   1.84e-05
 1293 |     -1.083842191469609 |     -1.888638121065457 |     -1.888638121064457 |     -1.888650889636380 |   1.00e-12 |   1.28e-05
 1294 |     -1.458092681614912 |     -8.835227746541909 |     -8.835227746540886 |     -8.835227746567831 |   1.02e-12 |   2.59e-11
 1295 |     -0.522510567859980 |     -0.575900235988713 |     -0.575900235987712 |     -0.575892337113787 |   1.00e-12 |   7.90e-06
 1296 |     -0.857242480698373 |     -1.155098526731967 |     -1.155098526730965 |     -1.155462470818045 |   1.00e-12 |   3.64e-04
 1297 |      1.560001093003813 |     92.629874753919736 |     92.629874753920788 |     92.629874753920262 |   1.05e-12 |   5.26e-13
 1298 |      1.199527528674827 |      2.568557664891649 |      2.568557664892638 |      2.568558809112353 |   9.90e-13 |   1.14e-06
 1299 |     -0.626553675508192 |     -0.723849519479366 |     -0.723849519478366 |     -0.723787946498890 |   1.00e-12 |   6.16e-05
 1300 |     -0.858837457160248 |     -1.158828479755736 |     -1.158828479754733 |     -1.159185454597976 |   1.00e-12 |   3.57e-04
 1301 |      0.369009681419069 |      0.386724298768594 |      0.386724298769594 |      0.386724136713870 |   1.00e-12 |   1.62e-07
 1302 |      1.352814088321082 |      4.514637767939656 |      4.514637767940655 |      4.514637777665234 |   9.98e-13 |   9.73e-09
 1303 |     -0.312130750203971 |     -0.322678499143953 |     -0.322678499142952 |     -0.322678473863184 |   1.00e-12 |   2.53e-08
 1304 |      1.512081128130614 |     17.011789116592748 |     17.011789116593754 |     17.011789116592841 |   1.01e-12 |   9.24e-14
 1305 |     -0.791786468899805 |     -1.012858932722118 |     -1.012858932721117 |     -1.013632670483119 |   1.00e-12 |   7.74e-04
 1306 |      1.475709281328070 |     10.484964888163464 |     10.484964888164425 |     10.484964888169090 |   9.61e-13 |   5.63e-12
 1307 |     -0.159017790829825 |     -0.160371830960885 |     -0.160371830959885 |     -0.160371830946163 |   1.00e-12 |   1.47e-11
 1308 |      0.327082830659625 |      0.339268690645398 |      0.339268690646398 |      0.339268648175782 |   1.00e-12 |   4.25e-08
 1309 |      0.041915003279110 |      0.041939566910279 |      0.041939566911279 |      0.041939566910279 |   1.00e-12 |   6.94e-18
 1310 |      0.072266251320241 |      0.072392316028682 |      0.072392316029682 |      0.072392316028680 |   1.00e-12 |   2.50e-15
 1311 |      0.344434668574663 |      0.358734328001254 |      0.358734328002254 |      0.358734252636597 |   1.00e-12 |   7.54e-08
 1312 |     -0.727850180702683 |     -0.891053396587505 |     -0.891053396586505 |     -0.890710611593859 |   1.00e-12 |   3.43e-04
 1313 |     -0.512485701004694 |     -0.562626698710304 |     -0.562626698709304 |     -0.562620345839550 |   1.00e-12 |   6.35e-06
 1314 |      0.877727499702776 |      1.204081636508402 |      1.204081636509398 |      1.204364499114913 |   9.96e-13 |   2.83e-04
 1315 |     -0.911504136455258 |     -1.290370225386952 |     -1.290370225385953 |     -1.290553498500800 |   9.99e-13 |   1.83e-04
 1316 |     -0.617077383495318 |     -0.709506005933598 |     -0.709506005932598 |     -0.709454230327150 |   1.00e-12 |   5.18e-05
 1317 |     -0.128252620079430 |     -0.128960475543130 |     -0.128960475542130 |     -0.128960475541752 |   1.00e-12 |   1.38e-12
 1318 |     -0.506373403694154 |     -0.554607040273295 |     -0.554607040272295 |     -0.554601488579276 |   1.00e-12 |   5.55e-06
 1319 |      1.271691352010831 |      3.243006399546167 |      3.243006399547168 |      3.243006565347207 |   1.00e-12 |   1.66e-07
 1320 |     -0.685775170426689 |     -0.818258046014048 |     -0.818258046013048 |     -0.818085291869263 |   1.00e-12 |   1.73e-04
